Block,WholePlot,Row,Column,Genotype,Fungicide,Yield
B1,1,1,1,G54,F1,5.89
B1,1,1,2,G44,F1,6.17
B1,1,1,3,G68,F1,5.68
B1,1,1,4,G59,F1,5.85
B1,1,1,5,G61,F1,5.8
B1,1,1,6,G67,F1,6.01
B1,1,1,7,G45,F1,5.89
B1,2,1,8,G10,F2,4.53
B1,2,1,9,G27,F2,5.32
B1,2,1,10,G60,F2,5.36
B1,2,1,11,G53,F2,5.1
B1,2,1,12,G57,F2,5.51
B1,2,1,13,G58,F2,5.15
B1,2,1,14,G48,F2,5.3
B2,1,1,15,G22,F1,5.65
B2,1,1,16,G45,F1,5.38
B2,1,1,17,G21,F1,5.36
B2,1,1,18,G36,F1,5.71
B2,1,1,19,G27,F1,5.83
B2,1,1,20,G68,F1,5.48
B2,1,1,21,G64,F1,5.55
B2,2,1,22,G27,F2,4.83
B2,2,1,23,G05,F2,4.43
B2,2,1,24,G45,F2,4.72
B2,2,1,25,G43,F2,4.85
B2,2,1,26,G70,F2,5.08
B2,2,1,27,G63,F2,4.82
B2,2,1,28,G55,F2,4.73
B3,1,1,29,G36,F1,5.86
B3,1,1,30,G65,F1,5.41
B3,1,1,31,G33,F1,5.58
B3,1,1,32,G38,F1,5.18
B3,1,1,33,G56,F1,5.65
B3,1,1,34,G44,F1,5.39
B3,1,1,35,G29,F1,5.46
B3,2,1,36,G12,F2,4.68
B3,2,1,37,G09,F2,4.71
B3,2,1,38,G37,F2,4.64
B3,2,1,39,G17,F2,4.56
B3,2,1,40,G10,F2,4.62
B3,2,1,41,G34,F2,4.57
B3,2,1,42,G43,F2,4.63
B4,1,1,43,G41,F2,4.88
B4,1,1,44,G24,F2,4.53
B4,1,1,45,G65,F2,5.1
B4,1,1,46,G11,F2,4.96
B4,1,1,47,G47,F2,5.02
B4,1,1,48,G28,F2,4.69
B4,1,1,49,G12,F2,5.11
B4,2,1,50,G13,F1,5.5
B4,2,1,51,G14,F1,4.91
B4,2,1,52,G22,F1,5.47
B4,2,1,53,G46,F1,5.02
B4,2,1,54,G02,F1,5.13
B4,2,1,55,G67,F1,5.38
B4,2,1,56,G52,F1,5.25
B1,1,2,1,G37,F1,6.08
B1,1,2,2,G23,F1,6.23
B1,1,2,3,G69,F1,6.19
B1,1,2,4,G51,F1,5.96
B1,1,2,5,G15,F1,5.74
B1,1,2,6,G50,F1,5.97
B1,1,2,7,G53,F1,5.86
B1,2,2,8,G33,F2,5.67
B1,2,2,9,G50,F2,5.28
B1,2,2,10,G21,F2,5.04
B1,2,2,11,G07,F2,5.44
B1,2,2,12,G37,F2,5.46
B1,2,2,13,G54,F2,5.95
B1,2,2,14,G01,F2,4.67
B2,1,2,15,G51,F1,5.66
B2,1,2,16,G48,F1,5.88
B2,1,2,17,G04,F1,4.4
B2,1,2,18,G16,F1,5.55
B2,1,2,19,G30,F1,5.37
B2,1,2,20,G42,F1,5.34
B2,1,2,21,G23,F1,5.85
B2,2,2,22,G15,F2,4.73
B2,2,2,23,G22,F2,5.08
B2,2,2,24,G46,F2,5.25
B2,2,2,25,G40,F2,5.46
B2,2,2,26,G12,F2,5.28
B2,2,2,27,G57,F2,5.44
B2,2,2,28,G04,F2,4.31
B3,1,2,29,G57,F1,5.91
B3,1,2,30,G30,F1,5.31
B3,1,2,31,G19,F1,5.97
B3,1,2,32,G13,F1,5.59
B3,1,2,33,G03,F1,6.45
B3,1,2,34,G69,F1,5.61
B3,1,2,35,G45,F1,5.36
B3,2,2,36,G56,F2,4.98
B3,2,2,37,G24,F2,4.58
B3,2,2,38,G15,F2,4.57
B3,2,2,39,G18,F2,5.19
B3,2,2,40,G11,F2,4.86
B3,2,2,41,G47,F2,5.17
B3,2,2,42,G55,F2,4.94
B4,1,2,43,G22,F2,5.25
B4,1,2,44,G21,F2,4.89
B4,1,2,45,G53,F2,5.24
B4,1,2,46,G57,F2,5.36
B4,1,2,47,G49,F2,5.01
B4,1,2,48,G10,F2,4.77
B4,1,2,49,G02,F2,4.71
B4,2,2,50,G68,F1,5.59
B4,2,2,51,G37,F1,5.71
B4,2,2,52,G15,F1,5.75
B4,2,2,53,G49,F1,5.11
B4,2,2,54,G48,F1,5.61
B4,2,2,55,G60,F1,5.75
B4,2,2,56,G66,F1,5.64
B1,1,3,1,G02,F1,5.71
B1,1,3,2,G62,F1,6.3
B1,1,3,3,G21,F1,5.7
B1,1,3,4,G57,F1,5.63
B1,1,3,5,G32,F1,5.76
B1,1,3,6,G43,F1,5.73
B1,1,3,7,G17,F1,5.89
B1,2,3,8,G49,F2,4.84
B1,2,3,9,G30,F2,4.9
B1,2,3,10,G29,F2,5.41
B1,2,3,11,G19,F2,5.65
B1,2,3,12,G39,F2,5.35
B1,2,3,13,G52,F2,5.6
B1,2,3,14,G26,F2,5.03
B2,1,3,15,G53,F1,5.63
B2,1,3,16,G62,F1,5.53
B2,1,3,17,G03,F1,6.66
B2,1,3,18,G31,F1,5.5
B2,1,3,19,G34,F1,5.22
B2,1,3,20,G13,F1,5.79
B2,1,3,21,G63,F1,5.25
B2,2,3,22,G32,F2,4.89
B2,2,3,23,G14,F2,4.28
B2,2,3,24,G29,F2,4.63
B2,2,3,25,G24,F2,4.43
B2,2,3,26,G26,F2,4.76
B2,2,3,27,G17,F2,5.1
B2,2,3,28,G38,F2,5.11
B3,1,3,29,G42,F1,5.45
B3,1,3,30,G15,F1,5.47
B3,1,3,31,G39,F1,5.42
B3,1,3,32,G05,F1,5.48
B3,1,3,33,G34,F1,5.31
B3,1,3,34,G07,F1,5.8
B3,1,3,35,G32,F1,5.52
B3,2,3,36,G21,F2,4.86
B3,2,3,37,G60,F2,5.13
B3,2,3,38,G45,F2,4.39
B3,2,3,39,G70,F2,5.07
B3,2,3,40,G08,F2,4.87
B3,2,3,41,G13,F2,5.71
B3,2,3,42,G46,F2,4.79
B4,1,3,43,G60,F2,5.2
B4,1,3,44,G34,F2,4.57
B4,1,3,45,G09,F2,5.28
B4,1,3,46,G50,F2,5.29
B4,1,3,47,G70,F2,5.3
B4,1,3,48,G27,F2,5.33
B4,1,3,49,G45,F2,5.01
B4,2,3,50,G32,F1,5.72
B4,2,3,51,G59,F1,5.88
B4,2,3,52,G34,F1,5.67
B4,2,3,53,G24,F1,5.08
B4,2,3,54,G39,F1,5.82
B4,2,3,55,G41,F1,5.66
B4,2,3,56,G33,F1,5.51
B1,1,4,1,G66,F1,6.17
B1,1,4,2,G64,F1,6.34
B1,1,4,3,G38,F1,5.88
B1,1,4,4,G47,F1,5.63
B1,1,4,5,G55,F1,5.68
B1,1,4,6,G27,F1,6.66
B1,1,4,7,G35,F1,5.93
B1,2,4,8,G67,F2,5.39
B1,2,4,9,G42,F2,5.22
B1,2,4,10,G35,F2,5.1
B1,2,4,11,G09,F2,5.5
B1,2,4,12,G70,F2,5.12
B1,2,4,13,G28,F2,4.96
B1,2,4,14,G14,F2,4.61
B2,1,4,15,G24,F1,4.97
B2,1,4,16,G40,F1,5.67
B2,1,4,17,G38,F1,5.8
B2,1,4,18,G55,F1,5.11
B2,1,4,19,G09,F1,5.59
B2,1,4,20,G17,F1,5.59
B2,1,4,21,G46,F1,5.61
B2,2,4,22,G39,F2,4.71
B2,2,4,23,G50,F2,4.77
B2,2,4,24,G44,F2,5.07
B2,2,4,25,G10,F2,4.4
B2,2,4,26,G62,F2,5.16
B2,2,4,27,G23,F2,4.76
B2,2,4,28,G60,F2,5.33
B3,1,4,29,G51,F1,5.25
B3,1,4,30,G27,F1,5.36
B3,1,4,31,G10,F1,4.68
B3,1,4,32,G62,F1,5.06
B3,1,4,33,G37,F1,5.14
B3,1,4,34,G66,F1,5.4
B3,1,4,35,G08,F1,5.56
B3,2,4,36,G54,F2,4.87
B3,2,4,37,G25,F2,4.75
B3,2,4,38,G49,F2,4.81
B3,2,4,39,G27,F2,4.94
B3,2,4,40,G22,F2,5.12
B3,2,4,41,G67,F2,5.36
B3,2,4,42,G35,F2,4.9
B4,1,4,43,G05,F2,4.59
B4,1,4,44,G26,F2,4.82
B4,1,4,45,G01,F2,4.52
B4,1,4,46,G25,F2,5.11
B4,1,4,47,G08,F2,5
B4,1,4,48,G39,F2,5.13
B4,1,4,49,G43,F2,5.26
B4,2,4,50,G29,F1,5.59
B4,2,4,51,G18,F1,6.18
B4,2,4,52,G65,F1,5.99
B4,2,4,53,G61,F1,5.45
B4,2,4,54,G10,F1,5.18
B4,2,4,55,G11,F1,5.5
B4,2,4,56,G31,F1,5.68
B1,1,5,1,G70,F1,5.94
B1,1,5,2,G25,F1,5.85
B1,1,5,3,G34,F1,5.65
B1,1,5,4,G65,F1,6.03
B1,1,5,5,G19,F1,6.68
B1,1,5,6,G07,F1,5.41
B1,1,5,7,G56,F1,6.09
B1,2,5,8,G40,F2,5.3
B1,2,5,9,G16,F2,4.83
B1,2,5,10,G02,F2,4.85
B1,2,5,11,G34,F2,4.74
B1,2,5,12,G69,F2,5.52
B1,2,5,13,G11,F2,5.02
B1,2,5,14,G06,F2,5.07
B2,1,5,15,G70,F1,5.65
B2,1,5,16,G08,F1,5.28
B2,1,5,17,G35,F1,5.28
B2,1,5,18,G44,F1,5.36
B2,1,5,19,G11,F1,5.23
B2,1,5,20,G47,F1,5.4
B2,1,5,21,G12,F1,5.14
B2,2,5,22,G11,F2,4.61
B2,2,5,23,G19,F2,5.48
B2,2,5,24,G35,F2,4.95
B2,2,5,25,G33,F2,5.11
B2,2,5,26,G18,F2,5.01
B2,2,5,27,G31,F2,4.88
B2,2,5,28,G30,F2,4.85
B3,1,5,29,G28,F1,5.01
B3,1,5,30,G21,F1,4.96
B3,1,5,31,G60,F1,5.34
B3,1,5,32,G58,F1,5.05
B3,1,5,33,G43,F1,5.02
B3,1,5,34,G17,F1,5.52
B3,1,5,35,G11,F1,5.54
B3,2,5,36,G07,F2,4.85
B3,2,5,37,G65,F2,4.89
B3,2,5,38,G20,F2,4.34
B3,2,5,39,G23,F2,5
B3,2,5,40,G58,F2,5.01
B3,2,5,41,G51,F2,5.19
B3,2,5,42,G06,F2,5.05
B4,1,5,43,G19,F2,5.23
B4,1,5,44,G35,F2,4.89
B4,1,5,45,G14,F2,4.36
B4,1,5,46,G42,F2,5.26
B4,1,5,47,G17,F2,5.36
B4,1,5,48,G07,F2,5
B4,1,5,49,G33,F2,5.35
B4,2,5,50,G62,F1,5.36
B4,2,5,51,G64,F1,5.47
B4,2,5,52,G42,F1,5.8
B4,2,5,53,G43,F1,5.33
B4,2,5,54,G51,F1,5.6
B4,2,5,55,G06,F1,5.45
B4,2,5,56,G44,F1,5.38
B1,1,6,1,G03,F1,6.8
B1,1,6,2,G22,F1,6.02
B1,1,6,3,G01,F1,5.7
B1,1,6,4,G63,F1,5.79
B1,1,6,5,G41,F1,5.35
B1,1,6,6,G49,F1,5.28
B1,1,6,7,G05,F1,5.67
B1,2,6,8,G18,F2,5.45
B1,2,6,9,G23,F2,5.11
B1,2,6,10,G62,F2,5.13
B1,2,6,11,G43,F2,5.09
B1,2,6,12,G47,F2,5.28
B1,2,6,13,G63,F2,5.51
B1,2,6,14,G55,F2,5.06
B2,1,6,15,G33,F1,6.04
B2,1,6,16,G50,F1,5.39
B2,1,6,17,G19,F1,6.05
B2,1,6,18,G07,F1,5.2
B2,1,6,19,G02,F1,5.4
B2,1,6,20,G43,F1,5.81
B2,1,6,21,G58,F1,5.69
B2,2,6,22,G08,F2,4.79
B2,2,6,23,G58,F2,5.24
B2,2,6,24,G65,F2,5.24
B2,2,6,25,G59,F2,5.25
B2,2,6,26,G02,F2,4.82
B2,2,6,27,G03,F2,5.46
B2,2,6,28,G54,F2,5.1
B3,1,6,29,G14,F1,5.07
B3,1,6,30,G24,F1,5.11
B3,1,6,31,G09,F1,5.79
B3,1,6,32,G23,F1,5.66
B3,1,6,33,G31,F1,5.85
B3,1,6,34,G68,F1,5.74
B3,1,6,35,G12,F1,5.89
B3,2,6,36,G38,F2,5.36
B3,2,6,37,G28,F2,4.49
B3,2,6,38,G33,F2,5.1
B3,2,6,39,G42,F2,4.84
B3,2,6,40,G36,F2,5.33
B3,2,6,41,G03,F2,6.22
B3,2,6,42,G59,F2,5
B4,1,6,43,G04,F2,3.95
B4,1,6,44,G30,F2,4.52
B4,1,6,45,G32,F2,4.88
B4,1,6,46,G63,F2,4.91
B4,1,6,47,G69,F2,5.21
B4,1,6,48,G55,F2,4.9
B4,1,6,49,G29,F2,4.97
B4,2,6,50,G54,F1,5.13
B4,2,6,51,G04,F1,4.14
B4,2,6,52,G12,F1,5.62
B4,2,6,53,G70,F1,5.44
B4,2,6,54,G35,F1,5.37
B4,2,6,55,G28,F1,5.04
B4,2,6,56,G19,F1,5.68
B1,1,7,1,G31,F1,6.03
B1,1,7,2,G16,F1,5.89
B1,1,7,3,G58,F1,6.05
B1,1,7,4,G18,F1,5.28
B1,1,7,5,G04,F1,4.4
B1,1,7,6,G14,F1,5
B1,1,7,7,G52,F1,6.13
B1,2,7,8,G44,F2,5.07
B1,2,7,9,G36,F2,5.29
B1,2,7,10,G65,F2,5.28
B1,2,7,11,G15,F2,4.89
B1,2,7,12,G61,F2,5.09
B1,2,7,13,G56,F2,5.32
B1,2,7,14,G66,F2,5.18
B2,1,7,15,G06,F1,5.28
B2,1,7,16,G60,F1,5.6
B2,1,7,17,G29,F1,5.24
B2,1,7,18,G66,F1,4.87
B2,1,7,19,G69,F1,5.25
B2,1,7,20,G18,F1,5.47
B2,1,7,21,G01,F1,5.11
B2,2,7,22,G16,F2,4.8
B2,2,7,23,G20,F2,4.41
B2,2,7,24,G42,F2,5.23
B2,2,7,25,G69,F2,5.17
B2,2,7,26,G52,F2,5.35
B2,2,7,27,G09,F2,5.49
B2,2,7,28,G06,F2,5.08
B3,1,7,29,G67,F1,5.97
B3,1,7,30,G59,F1,5.79
B3,1,7,31,G20,F1,5.48
B3,1,7,32,G22,F1,5.64
B3,1,7,33,G18,F1,6.11
B3,1,7,34,G48,F1,6.01
B3,1,7,35,G50,F1,5.89
B3,2,7,36,G40,F2,5.28
B3,2,7,37,G32,F2,4.69
B3,2,7,38,G01,F2,4.67
B3,2,7,39,G57,F2,5.02
B3,2,7,40,G62,F2,5.07
B3,2,7,41,G02,F2,4.62
B3,2,7,42,G50,F2,5.18
B4,1,7,43,G31,F2,5.04
B4,1,7,44,G54,F2,5.27
B4,1,7,45,G59,F2,5.13
B4,1,7,46,G68,F2,4.91
B4,1,7,47,G18,F2,5.29
B4,1,7,48,G52,F2,5.26
B4,1,7,49,G03,F2,5.72
B4,2,7,50,G16,F1,5
B4,2,7,51,G47,F1,5.3
B4,2,7,52,G40,F1,5.54
B4,2,7,53,G53,F1,5.11
B4,2,7,54,G69,F1,4.96
B4,2,7,55,G57,F1,4.93
B4,2,7,56,G23,F1,4.97
B1,1,8,1,G30,F1,5.49
B1,1,8,2,G12,F1,6.14
B1,1,8,3,G20,F1,5.8
B1,1,8,4,G08,F1,5.73
B1,1,8,5,G28,F1,5.51
B1,1,8,6,G10,F1,5.34
B1,1,8,7,G06,F1,5.59
B1,2,8,8,G25,F2,5.06
B1,2,8,9,G68,F2,5.01
B1,2,8,10,G05,F2,4.78
B1,2,8,11,G04,F2,3.88
B1,2,8,12,G45,F2,5.35
B1,2,8,13,G20,F2,4.37
B1,2,8,14,G08,F2,4.21
B2,1,8,15,G67,F1,5.08
B2,1,8,16,G59,F1,5.02
B2,1,8,17,G65,F1,5.08
B2,1,8,18,G28,F1,4.9
B2,1,8,19,G10,F1,4.98
B2,1,8,20,G20,F1,4.62
B2,1,8,21,G37,F1,4.76
B2,2,8,22,G68,F2,4.68
B2,2,8,23,G53,F2,4.86
B2,2,8,24,G51,F2,4.85
B2,2,8,25,G61,F2,4.91
B2,2,8,26,G41,F2,5.01
B2,2,8,27,G37,F2,4.88
B2,2,8,28,G64,F2,5.24
B3,1,8,29,G52,F1,5.81
B3,1,8,30,G54,F1,5.73
B3,1,8,31,G61,F1,5.47
B3,1,8,32,G46,F1,5.82
B3,1,8,33,G41,F1,5.64
B3,1,8,34,G64,F1,5.73
B3,1,8,35,G02,F1,5.26
B3,2,8,36,G61,F2,5.02
B3,2,8,37,G05,F2,4.57
B3,2,8,38,G69,F2,5.15
B3,2,8,39,G19,F2,5.13
B3,2,8,40,G16,F2,5.01
B3,2,8,41,G52,F2,5.34
B3,2,8,42,G48,F2,5.03
B4,1,8,43,G16,F2,5.01
B4,1,8,44,G13,F2,4.89
B4,1,8,45,G20,F2,4.37
B4,1,8,46,G44,F2,4.75
B4,1,8,47,G38,F2,5.16
B4,1,8,48,G58,F2,4.68
B4,1,8,49,G66,F2,4.96
B4,2,8,50,G07,F1,5.26
B4,2,8,51,G05,F1,5.2
B4,2,8,52,G55,F1,5.32
B4,2,8,53,G20,F1,4.98
B4,2,8,54,G09,F1,5.44
B4,2,8,55,G38,F1,5.25
B4,2,8,56,G26,F1,5.11
B1,1,9,1,G39,F1,5.98
B1,1,9,2,G26,F1,6.06
B1,1,9,3,G24,F1,5.69
B1,1,9,4,G11,F1,5.6
B1,1,9,5,G36,F1,6.6
B1,1,9,6,G33,F1,6.51
B1,1,9,7,G60,F1,6.13
B1,2,9,8,G59,F2,5.04
B1,2,9,9,G64,F2,5.25
B1,2,9,10,G51,F2,5.11
B1,2,9,11,G31,F2,5.11
B1,2,9,12,G46,F2,4.73
B1,2,9,13,G22,F2,4.73
B1,2,9,14,G13,F2,4.98
B2,1,9,15,G57,F1,4.72
B2,1,9,16,G56,F1,5.02
B2,1,9,17,G61,F1,4.78
B2,1,9,18,G15,F1,4.57
B2,1,9,19,G32,F1,4.86
B2,1,9,20,G41,F1,4.48
B2,1,9,21,G52,F1,4.67
B2,2,9,22,G13,F2,4.25
B2,2,9,23,G67,F2,4.59
B2,2,9,24,G56,F2,4.66
B2,2,9,25,G48,F2,4.89
B2,2,9,26,G01,F2,4.47
B2,2,9,27,G49,F2,4.35
B2,2,9,28,G21,F2,4.52
B3,1,9,29,G01,F1,4.96
B3,1,9,30,G63,F1,5.79
B3,1,9,31,G55,F1,5.41
B3,1,9,32,G25,F1,5.57
B3,1,9,33,G49,F1,5.62
B3,1,9,34,G16,F1,5.72
B3,1,9,35,G26,F1,6.16
B3,2,9,36,G64,F2,4.96
B3,2,9,37,G14,F2,4.37
B3,2,9,38,G44,F2,5.13
B3,2,9,39,G29,F2,4.72
B3,2,9,40,G63,F2,5.15
B3,2,9,41,G31,F2,5.2
B3,2,9,42,G68,F2,4.91
B4,1,9,43,G37,F2,5.02
B4,1,9,44,G51,F2,5.24
B4,1,9,45,G46,F2,4.75
B4,1,9,46,G56,F2,5.17
B4,1,9,47,G61,F2,5.07
B4,1,9,48,G64,F2,4.98
B4,1,9,49,G48,F2,5.23
B4,2,9,50,G30,F1,5.15
B4,2,9,51,G27,F1,5.65
B4,2,9,52,G08,F1,5.28
B4,2,9,53,G25,F1,5.27
B4,2,9,54,G56,F1,5.47
B4,2,9,55,G63,F1,5.32
B4,2,9,56,G45,F1,4.75
B1,1,10,1,G48,F1,6.14
B1,1,10,2,G29,F1,6.08
B1,1,10,3,G42,F1,5.82
B1,1,10,4,G40,F1,5.87
B1,1,10,5,G09,F1,5.86
B1,1,10,6,G46,F1,6.04
B1,1,10,7,G13,F1,6.86
B1,2,10,8,G17,F2,5.71
B1,2,10,9,G12,F2,5.28
B1,2,10,10,G38,F2,5.33
B1,2,10,11,G41,F2,5.07
B1,2,10,12,G24,F2,4.45
B1,2,10,13,G32,F2,4.93
B1,2,10,14,G03,F2,5.07
B2,1,10,15,G05,F1,4.82
B2,1,10,16,G26,F1,4.74
B2,1,10,17,G14,F1,4.46
B2,1,10,18,G39,F1,4.29
B2,1,10,19,G49,F1,4.56
B2,1,10,20,G54,F1,4.73
B2,1,10,21,G25,F1,4.61
B2,2,10,22,G66,F2,4.09
B2,2,10,23,G07,F2,3.83
B2,2,10,24,G36,F2,4.46
B2,2,10,25,G25,F2,3.91
B2,2,10,26,G28,F2,4.12
B2,2,10,27,G34,F2,4.32
B2,2,10,28,G47,F2,4.28
B3,1,10,29,G06,F1,4.61
B3,1,10,30,G53,F1,4.89
B3,1,10,31,G04,F1,4.27
B3,1,10,32,G35,F1,5.32
B3,1,10,33,G40,F1,5.68
B3,1,10,34,G70,F1,6.02
B3,1,10,35,G47,F1,6.09
B3,2,10,36,G41,F2,4.61
B3,2,10,37,G39,F2,4.73
B3,2,10,38,G53,F2,4.98
B3,2,10,39,G04,F2,3.81
B3,2,10,40,G30,F2,4.75
B3,2,10,41,G26,F2,5.03
B3,2,10,42,G66,F2,5.43
B4,1,10,43,G15,F2,4.85
B4,1,10,44,G62,F2,4.95
B4,1,10,45,G06,F2,4.88
B4,1,10,46,G40,F2,5.42
B4,1,10,47,G67,F2,5.17
B4,1,10,48,G36,F2,5.37
B4,1,10,49,G23,F2,4.77
B4,2,10,50,G21,F1,5.05
B4,2,10,51,G58,F1,5.59
B4,2,10,52,G17,F1,5.67
B4,2,10,53,G01,F1,5.18
B4,2,10,54,G50,F1,5.62
B4,2,10,55,G03,F1,6.22
B4,2,10,56,G36,F1,5.42
